SETPOINT,ALPHA,BETA,TAS
1,-135,-45,12
2,-135,0,12
3,-135,45,12
4,-90,-30,12
5,-90,0,12
6,-90,30,12
7,-75,0,12
8,-60,-90,12
9,-60,-45,12
10,-60,0,12
11,-60,45,12
12,-60,90,12
13,-45,0,12
14,-30,-90,12
15,-30,-60,12
16,-30,-30,12
17,-30,0,12
18,-30,30,12
19,-30,60,12
20,-30,90,12
21,-15,-45,12
22,-15,0,12
23,-15,45,12
24,0,-90,12
25,0,-60,12
26,0,-45,12
27,0,-30,12
28,0,-15,12
29,0,0,12
30,0,15,12
31,0,30,12
32,0,45,12
33,0,60,12
34,0,90,12
35,15,-45,12
36,15,0,12
37,15,45,12
38,30,-90,12
39,30,-60,12
40,30,-30,12
41,30,0,12
42,30,30,12
43,30,60,12
44,30,90,12
45,45,0,12
46,60,-90,12
47,60,-45,12
48,60,0,12
49,60,45,12
50,60,90,12
51,75,0,12
52,90,-30,12
53,90,0,12
54,90,30,12
55,135,-45,12
56,135,0,12
57,135,45,12
58,180,-45,12
59,180,0,12
60,180,45,12
61,-150,-30,18
62,-150,30,18
63,-135,0,18
64,-90,0,18
65,-60,-45,18
66,-60,0,18
67,-60,45,18
68,-45,-60,18
69,-45,-30,18
70,-45,0,18
71,-45,30,18
72,-45,60,18
73,-30,-90,18
74,-30,-60,18
75,-30,-30,18
76,-30,0,18
77,-30,30,18
78,-30,60,18
79,-30,90,18
80,-15,-75,18
81,-15,-45,18
82,-15,-15,18
83,-15,15,18
84,-15,45,18
85,-15,75,18
86,0,-90,18
87,0,-60,18
88,0,-30,18
89,0,0,18
90,0,30,18
91,0,60,18
92,0,90,18
93,15,-75,18
94,15,-45,18
95,15,-15,18
96,15,15,18
97,15,45,18
98,15,75,18
99,30,-90,18
100,30,-60,18
101,30,-30,18
102,30,0,18
103,30,30,18
104,30,60,18
105,30,90,18
106,45,-60,18
107,45,-30,18
108,45,0,18
109,45,30,18
110,45,60,18
111,60,-45,18
112,60,0,18
113,60,45,18
114,90,0,18
115,135,0,18
116,150,-30,18
117,150,30,18
118,180,-45,18
119,180,0,18
120,180,45,18
121,-165,-30,24
122,-165,30,24
123,-150,-45,24
124,-150,0,24
125,-150,45,24
126,-45,-60,24
127,-45,-30,24
128,-45,0,24
129,-45,30,24
130,-45,60,24
131,-30,-90,24
132,-30,-45,24
133,-30,-15,24
134,-30,15,24
135,-30,45,24
136,-30,90,24
137,-15,-60,24
138,-15,-30,24
139,-15,0,24
140,-15,30,24
141,-15,60,24
142,0,-90,24
143,0,-75,24
144,0,-60,24
145,0,-45,24
146,0,-30,24
147,0,-15,24
148,0,0,24
149,0,15,24
150,0,30,24
151,0,45,24
152,0,60,24
153,0,75,24
154,0,90,24
155,15,-60,24
156,15,-30,24
157,15,0,24
158,15,30,24
159,15,60,24
160,30,-90,24
161,30,-45,24
162,30,-15,24
163,30,15,24
164,30,45,24
165,30,90,24
166,45,-60,24
167,45,-30,24
168,45,0,24
169,45,30,24
170,45,60,24
171,150,-45,24
172,150,0,24
173,150,45,24
174,165,-30,24
175,165,30,24
176,180,-45,24
177,180,0,24
178,180,45,24
